,title,artist,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,uri,duration_ms,time_signature
1041,The Antidote,['Story Of The Year'],spotify:track:7h6Q1S1SySzPxWblLjMrLv,0.5,0.936,5,-4.521,0,0.0744,0.00747,0.0,0.13,0.158,101.487,7h6Q1S1SySzPxWblLjMrLv,spotify:track:7h6Q1S1SySzPxWblLjMrLv,239600,4
1042,"Ready, Steady, Go",['Paul Oakenfold'],spotify:track:1Eypjf8EdbSB8SHMNzbf9H,0.688,0.929,10,-7.791,0,0.0384,0.00632,0.855,0.114,0.456,126.002,1Eypjf8EdbSB8SHMNzbf9H,spotify:track:1Eypjf8EdbSB8SHMNzbf9H,306560,4
1043,The Dread,['Takida'],spotify:track:6Vnu2ohzTZHstTlTRHCI5V,0.446,0.87,2,-7.251,1,0.0458,8.17e-05,1.59e-06,0.266,0.559,169.852,6Vnu2ohzTZHstTlTRHCI5V,spotify:track:6Vnu2ohzTZHstTlTRHCI5V,185133,4
1044,You Sexy Thing,['Hot Chocolate'],spotify:track:26mDHU83VNkobcI4BadliK,0.788,0.728,5,-5.912,1,0.0571,0.534,0.0015,0.218,0.963,105.881,26mDHU83VNkobcI4BadliK,spotify:track:26mDHU83VNkobcI4BadliK,242907,4
1045,Du är min man,"['Benny Anderssons Orkester', 'Helen Sjöholm']",spotify:track:3W64IS8ZqASfmEYTZMgO3M,0.565,0.451,9,-8.302,1,0.0262,0.642,0.0,0.136,0.654,88.454,3W64IS8ZqASfmEYTZMgO3M,spotify:track:3W64IS8ZqASfmEYTZMgO3M,215600,4
1046,Plush,['Stone Temple Pilots'],spotify:track:2TAQ9YGehOKWDqDak5DuXc,0.423,0.954,7,-3.157,0,0.047,0.0021,0.0,0.177,0.5,144.553,2TAQ9YGehOKWDqDak5DuXc,spotify:track:2TAQ9YGehOKWDqDak5DuXc,310347,4
1047,What I Got,['Sublime'],spotify:track:5nkYHBWXu7KCgcdwP6jcB1,0.799,0.696,7,-7.513,1,0.0859,0.0128,0.000333,0.331,0.62,95.637,5nkYHBWXu7KCgcdwP6jcB1,spotify:track:5nkYHBWXu7KCgcdwP6jcB1,171067,4
1048,Scatman's World,['Scatman John'],spotify:track:0ekX8f90SM9yxk9ipmhUvO,0.703,0.874,11,-10.801,0,0.0566,0.0705,4.84e-06,0.0947,0.939,146.987,0ekX8f90SM9yxk9ipmhUvO,spotify:track:0ekX8f90SM9yxk9ipmhUvO,225133,4
1049,Sundance Kid,['kent'],spotify:track:1NSkByLIsEN0gyMco5nGOU,0.523,0.71,2,-6.518,0,0.0256,0.042,0.00343,0.0871,0.288,93.966,1NSkByLIsEN0gyMco5nGOU,spotify:track:1NSkByLIsEN0gyMco5nGOU,309627,4
1050,Downtown Train,['Tom Waits'],spotify:track:0ZKwuHVTC2My6lX48r912g,0.665,0.43,3,-13.62,1,0.117,0.465,0.0488,0.0965,0.701,115.399,0ZKwuHVTC2My6lX48r912g,spotify:track:0ZKwuHVTC2My6lX48r912g,230000,4
1051,Every Day Is Exactly The Same,['Nine Inch Nails'],spotify:track:2QZaBi6lgd6dD8h62DPQ4Q,0.621,0.938,0,-5.802,1,0.0512,0.026,0.0968,0.116,0.417,144.023,2QZaBi6lgd6dD8h62DPQ4Q,spotify:track:2QZaBi6lgd6dD8h62DPQ4Q,295080,4
1052,...To Be Loved,['Papa Roach'],spotify:track:5RxCC8ecpIb6W9MVrJNmSF,0.478,0.977,8,-3.162,1,0.0751,0.00473,0.0,0.509,0.482,96.047,5RxCC8ecpIb6W9MVrJNmSF,spotify:track:5RxCC8ecpIb6W9MVrJNmSF,182120,4
1053,Contigo - En Directo,['Joaquín Sabina'],spotify:track:4U4siN9I2wN2NFkTsQCYaU,0.495,0.483,4,-5.706,1,0.043,0.724,0.0,0.87,0.196,125.408,4U4siN9I2wN2NFkTsQCYaU,spotify:track:4U4siN9I2wN2NFkTsQCYaU,304347,3
1054,Love Is Noise,['The Verve'],spotify:track:3WPtsRcuXG5pEyLXUgiUZp,0.419,0.863,7,-4.155,1,0.0412,0.000484,0.0,0.388,0.314,123.008,3WPtsRcuXG5pEyLXUgiUZp,spotify:track:3WPtsRcuXG5pEyLXUgiUZp,327748,4
1055,This Is My Life,"[""Gasolin'""]",spotify:track:2aJSaIEowroNh5jq4aADHT,0.506,0.413,0,-10.613,1,0.0258,0.0599,0.000389,0.0982,0.0705,104.347,2aJSaIEowroNh5jq4aADHT,spotify:track:2aJSaIEowroNh5jq4aADHT,218613,4
1056,When You Believe (from The Prince Of Egypt ),"['Mariah Carey', 'Krystal Wilson', 'Daryl Hawes', 'Vearline Board', 'Melvin Edmonds', 'Nathan Walton', 'Sharlotte Gibson', 'Syretha Smith', 'J. Valentine', 'Kenya Ivey', 'Lisa Ivey', 'Kevon Edmonds', 'Dion Allen', 'Nathan Ivey', 'Whitney Houston', 'Shanice Wilson', 'Tavia Ivey', 'Lynn Davis', 'Peach', 'Mark Kibble', 'Joy Enriquez']",spotify:track:6jvxZ978pjyBAJtmxs3Jed,0.437,0.461,1,-6.898,0,0.0296,0.376,0.0,0.108,0.133,125.653,6jvxZ978pjyBAJtmxs3Jed,spotify:track:6jvxZ978pjyBAJtmxs3Jed,274693,4
1057,If I Let You Go - Radio Edit,['Westlife'],spotify:track:5giCRvTkp5GV5UIAORAOof,0.571,0.697,0,-4.255,1,0.0294,0.00574,0.0,0.0775,0.636,181.987,5giCRvTkp5GV5UIAORAOof,spotify:track:5giCRvTkp5GV5UIAORAOof,221533,4
1058,Det lilla livet,['Familjen'],spotify:track:6bmGTtmrQuCONm00FvrStQ,0.698,0.722,2,-5.359,1,0.0332,0.000128,0.537,0.379,0.574,112.9,6bmGTtmrQuCONm00FvrStQ,spotify:track:6bmGTtmrQuCONm00FvrStQ,249587,4
1059,Good People,['Jack Johnson'],spotify:track:7fa7CV6ZL83KqttHW4QO4j,0.72,0.586,11,-6.001,1,0.035,0.215,2.23e-05,0.0919,0.908,176.137,7fa7CV6ZL83KqttHW4QO4j,spotify:track:7fa7CV6ZL83KqttHW4QO4j,208507,4
1060,Jag är hos dig igen,['Lars Winnerbäck'],spotify:track:1K66oGji0Dquhjx4xUC1WO,0.435,0.202,7,-12.908,1,0.0299,0.787,0.00575,0.106,0.435,138.057,1K66oGji0Dquhjx4xUC1WO,spotify:track:1K66oGji0Dquhjx4xUC1WO,232040,4
1061,Don't Give Up,['The Whitest Boy Alive'],spotify:track:3zDj9vhpG5I1mhidBSy7zn,0.461,0.639,7,-9.586,1,0.035,0.175,0.487,0.0761,0.466,113.945,3zDj9vhpG5I1mhidBSy7zn,spotify:track:3zDj9vhpG5I1mhidBSy7zn,355280,4
1062,If I Had Eyes,['Jack Johnson'],spotify:track:0yGpf3rrAiWdNlvK0Wy4nL,0.794,0.569,2,-8.057,1,0.0371,0.663,0.00343,0.0898,0.706,92.915,0yGpf3rrAiWdNlvK0Wy4nL,spotify:track:0yGpf3rrAiWdNlvK0Wy4nL,238813,4
1063,The Age Of Pamparius,['Turbonegro'],spotify:track:1s4dse1OS2hnwkzJiwwG9Q,0.336,0.93,9,-3.899,1,0.0629,0.00018,0.089,0.614,0.141,154.924,1s4dse1OS2hnwkzJiwwG9Q,spotify:track:1s4dse1OS2hnwkzJiwwG9Q,361070,4
1064,Edge of Seventeen,['Stevie Nicks'],spotify:track:2id8E4WvczfKHB4LHI7Np3,0.59,0.828,0,-6.28,1,0.0439,0.277,5.57e-06,0.0868,0.636,111.353,2id8E4WvczfKHB4LHI7Np3,spotify:track:2id8E4WvczfKHB4LHI7Np3,329680,4
1065,I Hate Myself for Loving You,['Joan Jett & The Blackhearts'],spotify:track:2HXixVqzzm9rEUIMAWzshl,0.611,0.883,9,-11.225,1,0.0539,0.0846,1.2e-06,0.192,0.604,117.928,2HXixVqzzm9rEUIMAWzshl,spotify:track:2HXixVqzzm9rEUIMAWzshl,246800,4
1066,Papa Don't Preach,['Madonna'],spotify:track:6A8OnjnpShshNpcqWtZRjr,0.807,0.906,5,-8.973,0,0.0371,0.311,0.000791,0.0248,0.971,121.54,6A8OnjnpShshNpcqWtZRjr,spotify:track:6A8OnjnpShshNpcqWtZRjr,345280,4
1067,Bootylicious,"[""Destiny's Child""]",spotify:track:09mkdGhqb5ySKVsnkx9hy2,0.835,0.833,1,-4.364,0,0.284,0.00247,0.0,0.171,0.586,103.358,09mkdGhqb5ySKVsnkx9hy2,spotify:track:09mkdGhqb5ySKVsnkx9hy2,207733,4
1068,Nightswimming,['R.E.M.'],spotify:track:67gLxgBMEpItXCsVTQ44DR,0.559,0.458,7,-8.202,1,0.0301,0.765,2.06e-05,0.0979,0.551,114.204,67gLxgBMEpItXCsVTQ44DR,spotify:track:67gLxgBMEpItXCsVTQ44DR,258267,4
1069,Gamma Ray,['Beck'],spotify:track:3w56ucf59EbjBU6TXN8JiB,0.612,0.912,11,-4.219,0,0.0387,0.103,0.211,0.326,0.715,168.09,3w56ucf59EbjBU6TXN8JiB,spotify:track:3w56ucf59EbjBU6TXN8JiB,178920,4
1070,Debaser,['Pixies'],spotify:track:3FzKPS0oVknVlCW3PhxIHl,0.487,0.885,5,-12.005,1,0.0427,0.000397,0.347,0.0973,0.579,135.516,3FzKPS0oVknVlCW3PhxIHl,spotify:track:3FzKPS0oVknVlCW3PhxIHl,173173,4
1071,True Love Way,['Kings of Leon'],spotify:track:58Rx0gLTFzI9N02Ii52L0m,0.451,0.789,7,-5.809,1,0.0466,0.0304,0.000197,0.128,0.32,124.224,58Rx0gLTFzI9N02Ii52L0m,spotify:track:58Rx0gLTFzI9N02Ii52L0m,242787,4
1072,The Great Escape,['Boys Like Girls'],spotify:track:6GIrIt2M39wEGwjCQjGChX,0.423,0.94,1,-4.012,0,0.0635,0.00166,0.0,0.178,0.505,149.934,6GIrIt2M39wEGwjCQjGChX,spotify:track:6GIrIt2M39wEGwjCQjGChX,206520,4
1073,Into Dust,['Mazzy Star'],spotify:track:7l5nkTZpoD93OkynN0gcon,0.415,0.132,7,-18.839,1,0.0353,0.94,0.137,0.113,0.122,169.006,7l5nkTZpoD93OkynN0gcon,spotify:track:7l5nkTZpoD93OkynN0gcon,336760,4
1074,Girlfriend - Radio Edit,['Avril Lavigne'],spotify:track:1G3TReuCzc7YIXdw3xW8tP,0.564,0.959,7,-2.419,1,0.101,0.000816,0.000291,0.253,0.639,164.012,1G3TReuCzc7YIXdw3xW8tP,spotify:track:1G3TReuCzc7YIXdw3xW8tP,216600,4
1075,The Heart of Life,['John Mayer'],spotify:track:1piQgn19rviQgJF3kDrtpT,0.496,0.238,1,-11.026,1,0.0301,0.958,0.0109,0.0875,0.349,175.96,1piQgn19rviQgJF3kDrtpT,spotify:track:1piQgn19rviQgJF3kDrtpT,198200,4
1076,The Modern Leper,['Frightened Rabbit'],spotify:track:4AKARSUjCT4k1c3iSUvCDR,0.45,0.919,2,-4.357,1,0.0791,0.0624,8.11e-05,0.124,0.297,112.411,4AKARSUjCT4k1c3iSUvCDR,spotify:track:4AKARSUjCT4k1c3iSUvCDR,228453,4
1077,Sea of Love,['Cat Power'],spotify:track:10rA9ND4fP1MX0Nj0iobSp,0.586,0.0728,6,-11.472,0,0.0468,0.934,0.0,0.166,0.148,79.329,10rA9ND4fP1MX0Nj0iobSp,spotify:track:10rA9ND4fP1MX0Nj0iobSp,139467,4
1078,Da Funk,['Daft Punk'],spotify:track:0MyY4WcN7DIfbSmp5yej5z,0.806,0.7,0,-5.269,0,0.0752,0.00196,0.891,0.267,0.892,111.215,0MyY4WcN7DIfbSmp5yej5z,spotify:track:0MyY4WcN7DIfbSmp5yej5z,328680,4
1079,Deceptacon,['Le Tigre'],spotify:track:3PVRSOQ57O3LO6HCAPkbfY,0.605,0.869,9,-3.32,0,0.0644,0.0583,0.00494,0.0842,0.64,160.496,3PVRSOQ57O3LO6HCAPkbfY,spotify:track:3PVRSOQ57O3LO6HCAPkbfY,184533,4
1080,Roxanne - 2003 Stereo Remastered Version,['The Police'],spotify:track:5Z5pWsmW9DRAB5j6iBenZl,0.613,0.752,0,-8.853,1,0.382,0.0243,5.81e-06,0.0515,0.659,133.996,5Z5pWsmW9DRAB5j6iBenZl,spotify:track:5Z5pWsmW9DRAB5j6iBenZl,191013,4
1081,I Will Always Love You,['Whitney Houston'],spotify:track:7MU4icoUb7OqkiGyggO5Mu,0.301,0.296,9,-8.985,1,0.0364,0.673,2.35e-06,0.122,0.106,133.61,7MU4icoUb7OqkiGyggO5Mu,spotify:track:7MU4icoUb7OqkiGyggO5Mu,263800,4
1082,Follow Through,['Gavin DeGraw'],spotify:track:6jSoDFoUl903MNFhS4FuZx,0.37,0.772,0,-6.148,1,0.0536,0.000575,0.0,0.0745,0.375,174.775,6jSoDFoUl903MNFhS4FuZx,spotify:track:6jSoDFoUl903MNFhS4FuZx,239747,4
1083,Think About You,"[""Guns N' Roses""]",spotify:track:2DshFvtiZTTuuLPWi2m2am,0.24,0.987,10,-6.978,0,0.103,0.0607,0.0134,0.0727,0.259,170.357,2DshFvtiZTTuuLPWi2m2am,spotify:track:2DshFvtiZTTuuLPWi2m2am,229042,4
1084,Coming for You,['JoJo'],spotify:track:2SQB1AjymC9sQJx3Hh1qo1,0.755,0.738,8,-6.282,1,0.0306,0.0402,0.0,0.0979,0.49,115.064,2SQB1AjymC9sQJx3Hh1qo1,spotify:track:2SQB1AjymC9sQJx3Hh1qo1,211640,4
1085,Hungry Like the Wolf,['Duran Duran'],spotify:track:2qeESyQyH7MRHCBotCQsNq,0.664,0.888,7,-5.161,1,0.067,0.0252,0.0,0.216,0.605,127.369,2qeESyQyH7MRHCBotCQsNq,spotify:track:2qeESyQyH7MRHCBotCQsNq,209547,4
1086,La La La (Never Give It Up) - Radio Version,['September'],spotify:track:6fGvxWbCzqO6EfyiNvL3ai,0.644,0.885,11,-4.16,0,0.0268,0.0463,0.000958,0.255,0.917,130.003,6fGvxWbCzqO6EfyiNvL3ai,spotify:track:6fGvxWbCzqO6EfyiNvL3ai,198840,4
1087,Hand in My Pocket,['Alanis Morissette'],spotify:track:3ArPxT1Wt0Yse6kBeCqGFe,0.656,0.588,0,-9.836,1,0.0247,0.0625,0.0017,0.0966,0.705,92.276,3ArPxT1Wt0Yse6kBeCqGFe,spotify:track:3ArPxT1Wt0Yse6kBeCqGFe,221707,4
1088,Someone's Watching Over Me,['Hilary Duff'],spotify:track:6HHfwQ5xBAtTN6T9FwGfxA,0.475,0.716,4,-4.608,1,0.0324,0.119,1.92e-05,0.11,0.432,151.996,6HHfwQ5xBAtTN6T9FwGfxA,spotify:track:6HHfwQ5xBAtTN6T9FwGfxA,250960,4
1089,Sunburn,['Muse'],spotify:track:5wq8wceQvaFlOZovDtfr0j,0.474,0.905,4,-6.137,0,0.0842,0.122,0.00154,0.166,0.322,93.02,5wq8wceQvaFlOZovDtfr0j,spotify:track:5wq8wceQvaFlOZovDtfr0j,233733,4
1090,Infra-Red,['Placebo'],spotify:track:1oC7Yao1DZ0sbW0nvCvumh,0.447,0.817,1,-5.963,1,0.0704,0.000297,1.23e-06,0.277,0.355,172.01,1oC7Yao1DZ0sbW0nvCvumh,spotify:track:1oC7Yao1DZ0sbW0nvCvumh,195653,4
1091,Visit to Vienna,['Sahara Hotnights'],spotify:track:26UPjxLcM3he1jC5y3L0R9,0.729,0.826,7,-3.835,1,0.0337,0.00516,0.195,0.076,0.695,144.074,26UPjxLcM3he1jC5y3L0R9,spotify:track:26UPjxLcM3he1jC5y3L0R9,229707,4
1092,The End of Heartache,['Killswitch Engage'],spotify:track:6WrusttQhWlojn3WKlPTaY,0.469,0.976,0,-3.569,0,0.111,0.000287,0.217,0.0636,0.222,124.001,6WrusttQhWlojn3WKlPTaY,spotify:track:6WrusttQhWlojn3WKlPTaY,298107,4
1093,Going Up The Country,['Canned Heat'],spotify:track:57460SJgSpCXaRJ9YIYHxy,0.653,0.239,5,-18.54,0,0.0453,0.806,0.0146,0.132,0.765,80.392,57460SJgSpCXaRJ9YIYHxy,spotify:track:57460SJgSpCXaRJ9YIYHxy,171373,4
1094,Peace Sells - Remastered,['Megadeth'],spotify:track:3090goAxG6IlpCifA8m9xB,0.303,0.922,11,-4.376,0,0.138,0.000676,0.26,0.561,0.695,138.393,3090goAxG6IlpCifA8m9xB,spotify:track:3090goAxG6IlpCifA8m9xB,242533,4
1095,With Or Without You,['U2'],spotify:track:0tP5ogrxKrIPKHHc0seuOr,0.546,0.539,2,-7.342,1,0.0267,0.000135,0.235,0.119,0.122,109.92,0tP5ogrxKrIPKHHc0seuOr,spotify:track:0tP5ogrxKrIPKHHc0seuOr,296227,4
1096,Drinking In L.A.,['Bran Van 3000'],spotify:track:5XK7jl8mMZF35w4BM6glgV,0.558,0.691,3,-6.319,1,0.0639,0.0505,0.0,0.0694,0.651,171.875,5XK7jl8mMZF35w4BM6glgV,spotify:track:5XK7jl8mMZF35w4BM6glgV,236067,4
1097,Sad Statue,['System Of A Down'],spotify:track:1wGRSG94dLt8fIZWhR3rGG,0.26,0.938,6,-1.824,0,0.0603,0.00539,0.0,0.246,0.547,167.421,1wGRSG94dLt8fIZWhR3rGG,spotify:track:1wGRSG94dLt8fIZWhR3rGG,205800,4
1098,Into The Great Wide Open,['Tom Petty and the Heartbreakers'],spotify:track:1pvEacBCjS7EMQUZbM4Pj8,0.608,0.583,4,-9.727,0,0.0235,0.188,0.0,0.129,0.714,82.227,1pvEacBCjS7EMQUZbM4Pj8,spotify:track:1pvEacBCjS7EMQUZbM4Pj8,223333,4
1099,Ahora Quien - Salsa Version,['Marc Anthony'],spotify:track:5A32KQZznC2HSqr9qzTl2N,0.553,0.632,4,-4.837,0,0.0782,0.375,0.0,0.267,0.687,85.1,5A32KQZznC2HSqr9qzTl2N,spotify:track:5A32KQZznC2HSqr9qzTl2N,309587,4
1100,The Drugs Don't Work - Live,['Ben Harper And The Innocent Criminals'],spotify:track:1uDfA8q8avcbSzjNyB0cq7,0.484,0.287,0,-14.368,1,0.0349,0.69,0.0,0.946,0.351,79.912,1uDfA8q8avcbSzjNyB0cq7,spotify:track:1uDfA8q8avcbSzjNyB0cq7,277307,4
1101,One Of Us Is Gonna Die Young,['The Ark'],spotify:track:22u5Yu7vcYEQrIwA2Y9Rj6,0.612,0.822,0,-4.057,1,0.0326,0.12,1.41e-06,0.135,0.786,143.845,22u5Yu7vcYEQrIwA2Y9Rj6,spotify:track:22u5Yu7vcYEQrIwA2Y9Rj6,210644,4
1102,Shelter,['Ray LaMontagne'],spotify:track:5qxjv71aMyiG2Bm6GDETya,0.485,0.191,0,-14.714,1,0.0361,0.32,2.42e-06,0.313,0.186,117.822,5qxjv71aMyiG2Bm6GDETya,spotify:track:5qxjv71aMyiG2Bm6GDETya,276520,4
1103,What Else Is There? - Live,['Röyksopp'],spotify:track:39OZpmsquWGSgs1Lt6BXr0,0.485,0.812,9,-9.519,1,0.0365,0.125,0.00778,0.792,0.148,115.032,39OZpmsquWGSgs1Lt6BXr0,spotify:track:39OZpmsquWGSgs1Lt6BXr0,199293,4
1104,Milk,['Kings of Leon'],spotify:track:6ZDJ04p3vZFPLUpggYlStx,0.563,0.201,2,-16.489,1,0.053,0.396,0.000407,0.0544,0.233,124.216,6ZDJ04p3vZFPLUpggYlStx,spotify:track:6ZDJ04p3vZFPLUpggYlStx,240293,4
1105,Hey Mama,['Black Eyed Peas'],spotify:track:41UdZo4E9IUgBai73dD8Cf,0.86,0.866,4,-6.345,0,0.232,0.104,1.42e-06,0.584,0.933,100.15,41UdZo4E9IUgBai73dD8Cf,spotify:track:41UdZo4E9IUgBai73dD8Cf,214893,4
1106,The Logical Song,['Scooter'],spotify:track:2Uheo5lMCHhunV6rC9rs5X,0.538,0.95,6,-6.601,0,0.0498,0.0105,0.00155,0.38,0.354,143.997,2Uheo5lMCHhunV6rC9rs5X,spotify:track:2Uheo5lMCHhunV6rC9rs5X,285387,4
1107,Look What You've Done,['Jet'],spotify:track:0ZSmRnXnP5fdANtVlCok1g,0.398,0.547,0,-6.846,1,0.0261,0.414,0.00143,0.146,0.305,73.396,0ZSmRnXnP5fdANtVlCok1g,spotify:track:0ZSmRnXnP5fdANtVlCok1g,230880,4
1108,Fragile,['Sting'],spotify:track:4UiuRWY3NqFCymtGYD5Qmt,0.327,0.31,11,-15.353,0,0.035,0.908,0.274,0.122,0.28,83.222,4UiuRWY3NqFCymtGYD5Qmt,spotify:track:4UiuRWY3NqFCymtGYD5Qmt,232000,4
1109,Never Going Back Again,['Fleetwood Mac'],spotify:track:1hqvNLAmwGTh8p3wReZIhV,0.644,0.281,6,-13.106,1,0.0371,0.832,0.386,0.0805,0.916,176.565,1hqvNLAmwGTh8p3wReZIhV,spotify:track:1hqvNLAmwGTh8p3wReZIhV,135133,4
1110,Danger! High Voltage (Soulchild Radio Mix),['Electric Six'],spotify:track:1vRBB8zppBMnZawmRpRffx,0.657,0.699,11,-4.718,0,0.0297,2.15e-05,0.153,0.0525,0.523,123.017,1vRBB8zppBMnZawmRpRffx,spotify:track:1vRBB8zppBMnZawmRpRffx,214600,4
1111,Wonderlust King,['Gogol Bordello'],spotify:track:5lhl1BuBHERehZokNToaJz,0.57,0.891,2,-4.521,1,0.161,0.0153,0.0,0.0719,0.608,134.963,5lhl1BuBHERehZokNToaJz,spotify:track:5lhl1BuBHERehZokNToaJz,238040,4
1112,Hip To Be Square,['Huey Lewis & The News'],spotify:track:648BMGrt98kUbLo24A4vgj,0.668,0.779,9,-11.089,1,0.0325,0.0025,0.000347,0.139,0.963,140.873,648BMGrt98kUbLo24A4vgj,spotify:track:648BMGrt98kUbLo24A4vgj,245467,4
1113,Waltz #2 (XO),['Elliott Smith'],spotify:track:6pzmC5wnMeue9QZbuhWaX3,0.633,0.49,10,-7.668,1,0.0255,0.395,6.92e-05,0.0886,0.66,132.178,6pzmC5wnMeue9QZbuhWaX3,spotify:track:6pzmC5wnMeue9QZbuhWaX3,280107,3
1114,The Riddle,['Nik Kershaw'],spotify:track:4DFHOaiMTmqtrSffaJa89c,0.564,0.449,9,-14.1,1,0.0281,0.195,0.000395,0.0943,0.941,101.842,4DFHOaiMTmqtrSffaJa89c,spotify:track:4DFHOaiMTmqtrSffaJa89c,232933,4
1115,Out Ta Get Me,"[""Guns N' Roses""]",spotify:track:0DEGMFohkJUQprEG1wU4SN,0.408,0.966,11,-8.069,1,0.0842,0.0391,0.127,0.366,0.343,140.646,0DEGMFohkJUQprEG1wU4SN,spotify:track:0DEGMFohkJUQprEG1wU4SN,263867,4
1116,Black Is Black,['Los Bravos'],spotify:track:6lazLV13sV8VNGJTjL4Zeu,0.575,0.843,2,-5.931,1,0.0584,0.239,5.16e-06,0.0764,0.858,128.169,6lazLV13sV8VNGJTjL4Zeu,spotify:track:6lazLV13sV8VNGJTjL4Zeu,176600,4
1117,Breathe (2 AM),['Anna Nalick'],spotify:track:5auMzVHFr5Zfw6IbKarZ56,0.386,0.452,2,-7.715,1,0.0278,0.417,0.0,0.0881,0.287,169.837,5auMzVHFr5Zfw6IbKarZ56,spotify:track:5auMzVHFr5Zfw6IbKarZ56,279827,3
1118,Use Me - Single Version,['Bill Withers'],spotify:track:0xt3oHUZchlHPhiWXoADM5,0.766,0.661,11,-10.187,0,0.0542,0.0432,0.00246,0.0762,0.955,154.534,0xt3oHUZchlHPhiWXoADM5,spotify:track:0xt3oHUZchlHPhiWXoADM5,222093,4
1119,Evil In A Closet,['In Flames'],spotify:track:5uV4BkRSSVZCsCdhsvHzOg,0.507,0.9,1,-5.085,1,0.0425,8.66e-05,0.795,0.129,0.641,83.889,5uV4BkRSSVZCsCdhsvHzOg,spotify:track:5uV4BkRSSVZCsCdhsvHzOg,242373,4
1120,Sofa Song,['The Kooks'],spotify:track:1LM6kwIYSY6864gf0tstlr,0.31,0.94,8,-3.823,0,0.135,0.00962,2.23e-05,0.274,0.786,160.058,1LM6kwIYSY6864gf0tstlr,spotify:track:1LM6kwIYSY6864gf0tstlr,133253,4
1121,The Warrior's Code,['Dropkick Murphys'],spotify:track:0wyV8Z5VnuDX0KFt56DkiS,0.323,0.989,3,-1.734,1,0.151,0.00026,5.61e-06,0.16,0.457,90.519,0wyV8Z5VnuDX0KFt56DkiS,spotify:track:0wyV8Z5VnuDX0KFt56DkiS,149711,4
1122,Let's Dance - 1999 Remaster,['David Bowie'],spotify:track:0F0MA0ns8oXwGw66B2BSXm,0.619,0.703,10,-9.414,0,0.0525,0.00388,0.205,0.163,0.709,115.043,0F0MA0ns8oXwGw66B2BSXm,spotify:track:0F0MA0ns8oXwGw66B2BSXm,457133,4
1123,Life in Technicolor,['Coldplay'],spotify:track:1rkbMXhEjIytsUGbhoR5pn,0.288,0.662,9,-10.482,1,0.0347,0.0102,0.944,0.498,0.254,131.056,1rkbMXhEjIytsUGbhoR5pn,spotify:track:1rkbMXhEjIytsUGbhoR5pn,149133,4
1124,Hide Away,['Laleh'],spotify:track:1bRtqMyKD1n3QIvUUhaEh8,0.579,0.217,0,-13.363,1,0.0392,0.952,6.04e-05,0.117,0.0786,123.859,1bRtqMyKD1n3QIvUUhaEh8,spotify:track:1bRtqMyKD1n3QIvUUhaEh8,231667,4
1125,Kräm (så nära får ingen gå),['kent'],spotify:track:6mwzXxkU8SLbIcOCqCVuOg,0.334,0.716,5,-8.792,1,0.0416,3.74e-05,0.0129,0.347,0.42,124.675,6mwzXxkU8SLbIcOCqCVuOg,spotify:track:6mwzXxkU8SLbIcOCqCVuOg,161667,4
1126,Ma Baker (ZDF Starparade 02.06.1977),['Boney M.'],spotify:track:48C219M8L2HGsFTLudljk5,0.743,0.668,2,-9.016,0,0.12,0.0343,3.42e-05,0.29,0.903,128.982,48C219M8L2HGsFTLudljk5,spotify:track:48C219M8L2HGsFTLudljk5,275707,4
1127,I Wanna Be Adored,['The Stone Roses'],spotify:track:1U3XgEP8gEpn7jdzoeamci,0.522,0.72,4,-15.271,0,0.0271,0.0166,0.157,0.0922,0.606,112.568,1U3XgEP8gEpn7jdzoeamci,spotify:track:1U3XgEP8gEpn7jdzoeamci,292040,4
1128,Again,['Lenny Kravitz'],spotify:track:16gvJsVyauI16RqmOrwJJk,0.554,0.82,2,-5.035,1,0.0296,0.0186,4.91e-05,0.161,0.752,79.147,16gvJsVyauI16RqmOrwJJk,spotify:track:16gvJsVyauI16RqmOrwJJk,228933,4
1129,To the Moon & Back,['Savage Garden'],spotify:track:2Jmo3B3MXTKddplyXDBZwY,0.584,0.76,0,-7.369,0,0.0359,0.0205,7.25e-06,0.1,0.325,104.101,2Jmo3B3MXTKddplyXDBZwY,spotify:track:2Jmo3B3MXTKddplyXDBZwY,341067,4
1130,McFearless,['Kings of Leon'],spotify:track:4MJ2i39ccvaQl8GhatEmES,0.362,0.931,2,-2.945,1,0.0753,0.000461,2.08e-05,0.24,0.339,147.358,4MJ2i39ccvaQl8GhatEmES,spotify:track:4MJ2i39ccvaQl8GhatEmES,189147,4
1131,Ghost Town (Re-Recorded),['The Specials'],spotify:track:7iOA86nwA7RF3GwMa93H0v,0.381,0.818,0,-5.089,1,0.0423,0.00775,0.00456,0.469,0.88,154.609,7iOA86nwA7RF3GwMa93H0v,spotify:track:7iOA86nwA7RF3GwMa93H0v,316040,4
1132,Hot Stuff,['Donna Summer'],spotify:track:6RVevoPzbGygqvm6LxHAuf,0.797,0.738,0,-13.87,1,0.0341,0.00254,0.132,0.0433,0.964,120.494,6RVevoPzbGygqvm6LxHAuf,spotify:track:6RVevoPzbGygqvm6LxHAuf,400440,4
