,title,artist,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,uri,duration_ms,time_signature
21,Run to the Hills - 1998 Remastered Version,['Iron Maiden'],spotify:track:2JS1iE5A5RHvUPH5Zl9jlF,0.221,0.956,0,-4.641,1,0.0876,0.0103,0.000523,0.195,0.432,173.254,2JS1iE5A5RHvUPH5Zl9jlF,spotify:track:2JS1iE5A5RHvUPH5Zl9jlF,233960,4
22,Yellow,['Coldplay'],spotify:track:3AJwUDP919kvQ9QcozQPxg,0.429,0.661,11,-7.227,1,0.0281,0.00239,0.00013,0.234,0.285,173.365,3AJwUDP919kvQ9QcozQPxg,spotify:track:3AJwUDP919kvQ9QcozQPxg,266773,4
23,Welcome To The Jungle,"[""Guns N' Roses""]",spotify:track:0oWHLtxWeMJhmwxtrxhNK0,0.443,0.955,8,-8.066,1,0.0741,0.0222,0.361,0.297,0.333,123.423,0oWHLtxWeMJhmwxtrxhNK0,spotify:track:0oWHLtxWeMJhmwxtrxhNK0,273600,4
24,Feel Good Inc.,['Gorillaz'],spotify:track:0d28khcov6AiegSCpG5TuT,0.818,0.705,6,-6.679,1,0.177,0.00836,0.00233,0.613,0.772,138.559,0d28khcov6AiegSCpG5TuT,spotify:track:0d28khcov6AiegSCpG5TuT,222640,4
25,Good Riddance (Time of Your Life),['Green Day'],spotify:track:6ORqU0bHbVCRjXm9AjyHyZ,0.475,0.432,7,-7.844,1,0.0302,0.183,0.0,0.161,0.648,94.605,6ORqU0bHbVCRjXm9AjyHyZ,spotify:track:6ORqU0bHbVCRjXm9AjyHyZ,153467,4
26,Beautiful Day,['U2'],spotify:track:0G5F2msfVO77xs7ql2RiTS,0.541,0.914,2,-6.727,1,0.052,0.0225,0.000441,0.353,0.449,136.282,0G5F2msfVO77xs7ql2RiTS,spotify:track:0G5F2msfVO77xs7ql2RiTS,245707,4
27,Numb,['Linkin Park'],spotify:track:0kO3njY9N1Rxgv27Ha1lLh,0.496,0.863,9,-4.153,1,0.0381,0.0046,0.0,0.639,0.243,110.018,0kO3njY9N1Rxgv27Ha1lLh,spotify:track:0kO3njY9N1Rxgv27Ha1lLh,185587,4
28,You're Beautiful,['James Blunt'],spotify:track:0vg4WnUWvze6pBOJDTq99k,0.675,0.479,0,-9.87,0,0.0278,0.633,1.76e-05,0.088,0.454,81.998,0vg4WnUWvze6pBOJDTq99k,spotify:track:0vg4WnUWvze6pBOJDTq99k,209493,4
29,The Pretender,['Foo Fighters'],spotify:track:3ZsjgLDSvusBgxGWrTAVto,0.433,0.959,9,-4.04,1,0.0431,0.000917,0.0,0.028,0.365,172.984,3ZsjgLDSvusBgxGWrTAVto,spotify:track:3ZsjgLDSvusBgxGWrTAVto,269373,4
30,Det snurrar i min skalle,['Familjen'],spotify:track:3b7fBk9K03QWUg6F3w1G12,0.641,0.802,7,-5.383,1,0.0471,0.000119,0.0277,0.0611,0.929,130.017,3b7fBk9K03QWUg6F3w1G12,spotify:track:3b7fBk9K03QWUg6F3w1G12,254467,4
31,Under The Bridge,['Red Hot Chili Peppers'],spotify:track:7C3fJ1q01IQ137IQTRwmVZ,0.475,0.401,9,-11.672,1,0.0515,0.0285,5.8e-05,0.115,0.475,84.742,7C3fJ1q01IQ137IQTRwmVZ,spotify:track:7C3fJ1q01IQ137IQTRwmVZ,267560,4
32,November Rain,"[""Guns N' Roses""]",spotify:track:53968oKecrFxkErocab2Al,0.197,0.629,11,-9.291,1,0.03,0.0165,0.279,0.125,0.221,79.495,53968oKecrFxkErocab2Al,spotify:track:53968oKecrFxkErocab2Al,537507,4
33,Last Nite,['The Strokes'],spotify:track:7kzKAuUzOITUauHAhoMoxA,0.624,0.91,0,-5.703,1,0.0297,0.0285,0.000198,0.0789,0.767,104.042,7kzKAuUzOITUauHAhoMoxA,spotify:track:7kzKAuUzOITUauHAhoMoxA,193051,4
34,Alias,['In Flames'],spotify:track:4CeT4xcG9c345vvUhldXOc,0.427,0.93,10,-3.734,0,0.0592,0.0194,0.000844,0.2,0.361,170.027,4CeT4xcG9c345vvUhldXOc,spotify:track:4CeT4xcG9c345vvUhldXOc,289240,4
35,I Don't Want To Miss A Thing,['Aerosmith'],spotify:track:2QoAsBYPMO1rbgtRgXIS62,0.399,0.704,2,-4.13,1,0.0327,0.123,0.0,0.138,0.126,120.883,2QoAsBYPMO1rbgtRgXIS62,spotify:track:2QoAsBYPMO1rbgtRgXIS62,298053,4
36,Walk Of Life,['Dire Straits'],spotify:track:7w4Tbkbx081vRJa8ol56Qf,0.461,0.936,4,-6.824,1,0.104,0.416,0.000135,0.136,0.811,172.43,7w4Tbkbx081vRJa8ol56Qf,spotify:track:7w4Tbkbx081vRJa8ol56Qf,249333,4
37,I Only Wanna Be With You,['Volbeat'],spotify:track:4fmHQdt9I9mi4hAVmt0Iyz,0.429,0.991,2,-4.816,1,0.0902,6.82e-06,0.00714,0.0444,0.583,137.996,4fmHQdt9I9mi4hAVmt0Iyz,spotify:track:4fmHQdt9I9mi4hAVmt0Iyz,164093,4
38,Yeah!,"['Usher', 'Lil Jon', 'Ludacris']",spotify:track:2PkeVPcL32LA96cK5ySC3c,0.895,0.795,2,-4.693,1,0.0977,0.0219,0.0,0.0403,0.574,105.004,2PkeVPcL32LA96cK5ySC3c,spotify:track:2PkeVPcL32LA96cK5ySC3c,250067,4
39,Losing My Religion,['R.E.M.'],spotify:track:74EV0g12ihUoOUXMprFpZB,0.672,0.841,9,-5.992,0,0.0285,0.0767,0.0,0.135,0.82,125.437,74EV0g12ihUoOUXMprFpZB,spotify:track:74EV0g12ihUoOUXMprFpZB,267733,4
